Station,Year,Month,Day,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),MAX_WL(m),MIN_WL(m),AVE_WL(m)
Barisal,2017,3,7,31,21,0,2,95,59,5.3,6.6,333.21,     .65,    -.10,     .26
Barisal,2017,3,8,29,22,8.6,3.6,95,16,0.9,11,193.23,     .68,    -.09,     .32
Barisal,2017,3,9,29.4,17.8,1,3,95,66,6.7,5.2,377.75,     .75,    -.16,     .34
Barisal,2017,3,10,31.8,19,22,2,95,NIL,6.4,5.5,368.21,     .84,    -.29,     .35
Barisal,2017,3,11,28.8,20.8,0,2.4,95,78,3.4,8.5,272.77,    1.00,    -.25,     .46
Barisal,2017,3,12,29,20,0,2,95,79,4.8,7.1,317.3,    1.08,    -.31,     .51
Barisal,2017,3,13,29,17.6,0,3,83,43,8.4,3.5,431.83,    1.20,    -.30,     .57
Barisal,2017,3,14,29.8,16.2,0,2,94,44,8.7,3.2,441.38,    1.14,    -.31,     .58
Barisal,2017,3,15,30.6,16,0,4,94,42,8.8,3.1,444.56,    1.05,    -.34,     .52
Barisal,2017,3,16,31,16,0,2,89,42,8.3,3.6,428.65,     .92,    -.33,     .46
Barisal,2017,3,17,32.4,16.8,0,3,95,NIL,7,4.9,387.29,     .81,    -.31,     .38
Barisal,2017,3,18,30.4,19.4,14,4,95,47,3.5,8.4,275.95,     .70,    -.27,     .32
Barisal,2017,3,19,32.4,19,4.4,3.4,95,47,8,3.9,419.11,     .55,    -.25,     .24
Barisal,2017,3,20,22.6,20,1.2,2.2,95,80,0.5,11.4,180.51,     .44,    -.21,     .22
Barisal,2017,3,21,29.8,16.2,0,3,94,47,8.5,3.4,435.01,     .43,    -.28,     .18
Barisal,2017,3,22,32,17,0,3,95,55,8,3.9,419.11,     .45,    -.19,     .19
Barisal,2017,3,23,32.8,18,0,2,90,47,8.1,3.8,422.29,     .47,    -.17,     .18
Barisal,2017,3,24,33.6,21,0,3,95,NIL,7.3,4.6,396.84,     .54,    -.13,     .21
Barisal,2017,3,25,34.4,21.6,0,3,95,49,7.5,4.4,403.2,     .60,    -.11,     .23
Barisal,2017,3,26,32.6,21.4,0,3,90,45,7.7,4.2,409.56,     .68,    -.07,     .30
Barisal,2017,3,27,33.4,22.6,0,2,95,49,7.4,4.5,400.02,     .80,    -.03,     .41
Barisal,2017,3,28,31.4,23.6,0,3,95,57,6.6,5.3,374.57,     .91,     .00,     .51
Barisal,2017,3,29,32.4,24,0,3,96,63,6.2,5.7,361.84,    1.98,     .03,     .96
Barisal,2017,3,30,32.2,24.8,0,3,91,59,8.9,3,447.74,    2.02,     .05,    1.15
Barisal,2017,3,31,NIL,25.8,0,4,91,NIL,8.4,3.5,431.83,    1.99,     .08,    1.17
Barisal,2017,4,1,32.8,26,0,4,9,61,8.7,3.9,458.61,    2.00,     .07,    1.08
Barisal,2017,4,2,32,25.8,0,4,91,70,8.8,3.8,461.85,    1.80,     .06,     .96
Barisal,2017,4,3,32,26,0,3,91,70,5.6,7,358.34,    1.61,     .05,     .84
Barisal,2017,4,4,31,26,3.8,4,91,76,4.3,8.33,316.29,    1.22,     .05,     .69
Barisal,2017,4,5,32.6,25.8,0,3.8,96,67,6.8,5.8,397.15,    1.12,     .06,     .59
Barisal,2017,4,6,32,21.8,0,2,95,72,4.6,8,325.99,    1.10,     .08,     .61
Barisal,2017,4,7,33.6,23,0,2,96,,8,4.6,435.97,    1.16,     .04,     .58
Barisal,2017,4,8,34.8,25,0,2,96,74,5.7,6.9,361.57,    1.21,     .05,     .66
Barisal,2017,4,9,34.6,25.6,0,2,96,70,6,6.6,371.28,    1.31,     .06,     .76
Barisal,2017,4,10,34.8,25.8,0,3,96,65,6.2,6.4,377.75,    1.45,     .08,     .84
Barisal,2017,4,11,34,25.8,0,2,96,67,7.7,4.9,426.26,    1.39,    -.03,     .82
Barisal,2017,4,12,34.6,25.2,0,3,96,65,8.2,4.4,442.44,    1.46,    -.11,     .79
Barisal,2017,4,13,35.2,24.2,0,4,96,62,9,3.6,468.31,    1.40,    -.10,     .81
Barisal,2017,4,14,35.4,22.8,0,4,96,NIL,8.5,4.1,452.14,    1.70,    -.10,     .95
Barisal,2017,4,15,34.4,23.4,0,3,96,62,8.9,3.7,465.05,    1.55,     .01,     .96
Barisal,2017,4,16,32.4,24,0,2,96,67,6,6.6,371.28,    1.54,     .23,    1.08
Barisal,2017,4,17,34,22,0,3,96,54,8.8,3.8,461.85,    1.15,     .10,     .77
Barisal,2017,4,18,34.6,22,0,4,96,62,8.9,3.7,465.08,    1.20,     .13,     .78
Barisal,2017,4,19,32,25.4,66.4,3.4,96,69,3.7,8.9,296.88,    1.13,     .20,     .75
Barisal,2017,4,20,32.4,21.4,7.2,4.2,91,70,6,6.6,371.28,    1.05,     .60,     .81
Barisal,2017,4,21,30.8,22.8,56.4,3.4,100,NIL,2.5,10.1,258.07,    1.18,     .45,     .85
Barisal,2017,4,22,26.6,21,104.4,3.4,96,86,0.4,12.2,190.14,    1.57,     .51,    1.06
Barisal,2017,4,23,29.2,20,41.4,3.4,96,92,1.8,10.8,235.42,    1.68,     .40,    1.00
Barisal,2017,4,24,26.2,20.4,34.2,2.2,100,90,1,11.6,209.55,    1.95,     .39,    1.25
Barisal,2017,4,25,32,20.4,0,4,95,63,8.4,4.2,448.91,    2.00,     .50,    1.32
Barisal,2017,4,26,33,26.4,0,3,96,74,7.4,5.2,416.56,    2.06,     .57,    1.43
Barisal,2017,4,27,34.4,26.6,2.4,4.4,96,71,8,4.6,435.97,    2.10,     .43,    1.38
Barisal,2017,4,28,35,26.6,0,3,96,NIL,7.7,4.9,426.26,    2.12,     .32,    1.32
Barisal,2017,4,29,34.8,26.8,0,5,0,NIL,9.3,3.3,478.08,    1.88,     .24,    1.25
Barisal,2017,4,30,34.4,25.8,5.2,5.2,80,NIL,9,3.6,468.31,    1.65,     .18,    1.14
Barisal,2017,5,1,34.4,2.6,5,5,95,62,9.2,4,486.25,    1.29,     .17,     .91
Barisal,2017,5,2,33.6,20.8,0,3,95,59,9.3,3.9,489.5,    1.15,     .14,     .73
Barisal,2017,5,3,35,23,0,3,96,59,8.8,4.4,473.23,    1.04,     .19,     .70
Barisal,2017,5,4,35.2,26,0,2,96,62,9.3,3.9,489.5,    1.03,     .23,     .74
Barisal,2017,5,5,34.4,26.2,0,4,96,,6.9,6.3,411.38,    1.10,     .34,     .76
Barisal,2017,5,6,33.6,26.6,0,5,92,62,9.9,3.3,509.03,    1.30,     .26,     .88
Barisal,2017,5,7,34.6,26.6,0,5,92,62,9.8,3.4,505.78,    1.53,     .28,     .99
Barisal,2017,5,8,35,26.6,0,3,96,62,9.8,3.4,505.78,    1.58,     .25,    1.02
Barisal,2017,5,9,35,26.4,28.2,4,96,71,6.2,7,388.6,    1.68,     .24,    1.05
Barisal,2017,5,10,34.2,23,0,3,96,74,8.5,4.7,463.46,    1.71,     .20,    1.07
Barisal,2017,5,11,35.4,23.8,1.2,3.2,96,65,9.2,4,486.25,    1.75,     .23,    1.07
Barisal,2017,5,12,31,25,0,3,96,,9.3,3.9,489.5,    1.62,     .21,    1.00
Barisal,2017,5,13,36.4,26,0,4,96,59,8.9,4.3,476.48,    1.60,     .20,     .99
Barisal,2017,5,14,35.8,26.2,0,3,92,57,8.9,4.3,476.48,    1.73,     .18,    1.09
Barisal,2017,5,15,34.2,27,32,5,92,59,6,7.2,382.09,    1.61,     .19,    1.11
Barisal,2017,5,16,32.4,21.2,0,4,100,77,7,6.2,414.64,    1.57,     .24,    1.05
Barisal,2017,5,17,33.8,22.8,16.8,4.8,96,71,6.1,9.1,320.25,    1.25,     .35,     .92
Barisal,2017,5,18,32.2,22.8,0,4,95,65,6.8,6.4,408.13,    1.18,     .38,     .85
Barisal,2017,5,19,36.8,23.8,0,4,96,,7.2,6,421.15,    1.16,     .46,     .90
Barisal,2017,5,20,36.2,28.4,0,4,96,65,9.3,3.9,489.5,    1.22,     .48,     .82
Barisal,2017,5,21,36.8,28.4,0,4,92,65,8.5,4.7,46.346,    1.34,     .46,     .92
Barisal,2017,5,22,36.4,28.4,0,4,92,68,9.2,4,486.25,    1.45,     .43,     .98
Barisal,2017,5,23,36,28.2,0,3,92,65,8.4,4.8,460.21,    1.64,     .35,    1.01
Barisal,2017,5,24,36,28,0,4,92,65,8.8,4.4,473.23,    1.82,     .25,    1.12
Barisal,2017,5,25,36.6,28.8,0,3,92,62,8.9,4.3,476.48,    1.93,     .28,    1.25
Barisal,2017,5,26,36.4,26.4,0,5,92,,8.5,4.7,463.46,    2.03,     .21,    1.27
Barisal,2017,5,27,37.2,27,0,5,92,62,8.8,4.4,473.23,    2.08,     .20,    1.19
Barisal,2017,5,28,37.6,27.6,0,5,87,49,8.1,5.1,450.44,    2.03,     .18,    1.27
Barisal,2017,5,29,33.8,26,5.8,3.8,87,68,0,13.2,186.8,    1.89,     .29,    1.31
Barisal,2017,5,30,29,26.8,9.4,2.4,91,96,0,13.2,186.8,    1.60,     .36,    1.16
Barisal,2017,5,31,33,NIL,0,3,92,84,4.6,8.6,336.52,    1.75,     .67,    1.27
Barisal,2017,6,1,33.4,27.2,104.4,3.4,92,62,2.9,10.6,282.68,    1.67,     .97,    1.40
Barisal,2017,6,2,30,24.4,22.4,5,96,NIL,3.9,9.6,314.91,    1.54,    1.13,    1.28
Barisal,2017,6,3,33.6,22.6,0,4,92,75,9,4.5,479.31,    1.58,    1.00,    1.28
Barisal,2017,6,4,34.4,28,0,4.2,96,71,5.4,8.1,363.26,    1.60,     .94,    1.27
Barisal,2017,6,5,33,27,39.2,4,92,74,3,10.5,285.9,    1.64,     .82,    1.28
Barisal,2017,6,6,34.4,23.2,0,3,96,75,6,7.5,382.6,    1.77,     .80,    1.28
Barisal,2017,6,7,36.2,26.8,0,3.6,96,62,8.1,5.4,450.3,    1.91,     .47,    1.27
Barisal,2017,6,8,35,28.2,1.6,4,96,71,4.35,9,336.25,    1.93,     .46,    1.21
Barisal,2017,6,9,34.4,26.8,0,3.8,96,NIL,6.9,6.6,411.62,    2.04,     .49,    1.45
Barisal,2017,6,10,34.4,26.8,1.8,2,96,64,7.8,5.7,440.63,    2.05,     .50,    1.52
Barisal,2017,6,11,34.4,26,54,2,96,92,0,13.5,189.2,    2.20,     .89,    1.64
Barisal,2017,6,12,27.2,25,20,2,100,96,0,13.5,189.2,    2.27,    1.34,    1.86
Barisal,2017,6,13,32,25,0,2,96,92,0,13.5,189.2,    2.08,    1.04,    1.65
Barisal,2017,6,14,31.8,25,0,3,96,80,6.7,6.8,405.17,    2.00,     .92,    1.58
Barisal,2017,6,15,30,27.4,26,3,96,80,1.2,12.3,227.88,    1.87,     .94,    1.50
Barisal,2017,6,16,28.6,25.6,0,3,96,NIL,7.2,6.3,421.29,    1.73,    1.14,    1.46
Barisal,2017,6,17,33,26.6,8,3,96,96,3.9,9.6,314.91,    1.68,     .97,    1.36
Barisal,2017,6,18,34,27.2,3.6,3.6,96,81,5,8.5,350.37,    1.56,     .98,    1.30
Barisal,2017,6,19,32.4,27.6,68.2,0,96,92,1.1,12.4,224.66,    1.67,    1.00,    1.40
Barisal,2017,6,20,29.8,23,70,3,96,80,2.7,10.8,276.23,    1.85,    1.10,    1.55
Barisal,2017,6,21,30.4,24,0,4,96,92,0.9,12.6,218.21,    1.98,    1.06,    1.51
Barisal,2017,6,22,31.6,25.8,0,5,96,80,6.1,7.4,385.83,    2.05,     .80,    1.45
Barisal,2017,6,23,32.4,26.6,1.8,3.8,96,NIL,7.4,6.1,427.73,    2.21,     .78,    1.57
Barisal,2017,6,24,31.8,26.2,1.6,3.6,96,92,6.3,70.2,392.27,    2.23,     .85,    1.61
Barisal,2017,6,25,31.2,26.2,0.8,3.8,96,84,5.6,7.9,369.71,    2.26,     .90,    1.67
Barisal,2017,6,26,31.4,27.2,4.6,3.6,96,80,5.3,8.2,360.04,    2.25,     .97,    1.68
Barisal,2017,6,27,33,27,5.4,4.4,96,84,6.1,7.4,385.83,    2.22,    1.06,    1.75
Barisal,2017,6,28,31.6,27,1.2,4.2,96,88,5,8.5,350.37,    2.05,    1.12,    1.70
Barisal,2017,6,29,31.6,26.8,0,3,96,77,6.3,7.2,392.27,    1.91,    1.14,    1.59
Barisal,2017,6,30,30.8,27,6.6,2.6,96,NIL,1,12.5,221.43,    1.80,    1.17,    1.50
Barisal,2017,7,1,30.6,27.2,22.4,2.4,96,92,2.8,10.6,277.76,    1.71,    1.24,    1.47
Barisal,2017,7,2,29.4,25.8,23.2,0,96,92,0,13.4,187.6,    1.74,    1.27,    1.50
Barisal,2017,7,3,28.2,26,3,2,96,96,0,13.4,187.6,    1.70,    1.25,    1.45
Barisal,2017,7,4,29,26.2,10,2,96,96,0,13.4,187.6,    1.71,     .98,    1.39
Barisal,2017,7,5,28,26.2,88.4,2.4,100,100,0,13.4,187.6,    1.88,     .95,    1.47
Barisal,2017,7,6,29.8,25.6,14,3,96,96,4.1,9.3,319.62,    1.81,     .87,    1.45
Barisal,2017,7,7,29.6,26.2,22,4,100,92,2.7,10.7,274.54,    1.96,     .86,    1.50
Barisal,2017,7,8,30.4,25.8,4.4,2.4,96,96,1.4,12,232.68,    2.09,     .85,    1.59
Barisal,2017,7,9,30.4,26.2,6.4,2.4,96,84,2.6,10.8,271.32,    2.14,     .88,    1.68
Barisal,2017,7,10,28.4,26,21,2,96,96,0.4,13,200.48,    2.17,    1.03,    1.73
Barisal,2017,7,11,30,25.6,0.6,1.6,100,96,0.5,12.9,203.7,    2.14,    1.08,    1.72
Barisal,2017,7,12,30.6,25.6,0,2,96,96,1.3,12.1,229.46,    2.16,    1.13,    1.71
Barisal,2017,7,13,27,26.2,8.4,1.4,96,96,0,13.4,187.6,    2.05,    1.24,    1.74
Barisal,2017,7,14,29,25.2,0,3,96,77,8.2,5.2,451.64,    2.02,    1.26,    1.75
Barisal,2017,7,15,32.8,26,0,3,87,74,8.7,4.7,467.74,    1.94,    1.36,    1.70
Barisal,2017,7,16,33.8,26.8,1.6,4.6,92,67,8,5.4,445.2,    1.90,    1.44,    1.70
Barisal,2017,7,17,34.6,27,0,5,96,67,8.8,4.6,470.96,    1.89,    1.46,    1.70
Barisal,2017,7,18,32.8,27.6,21.2,5.2,92,71,7.3,6.1,422.66,    1.95,    1.49,    1.75
Barisal,2017,7,19,26.8,25.8,38,2,96,96,0,13.4,187.6,    2.16,    1.62,    1.87
Barisal,2017,7,20,26,25,57,3,96,96,0,13.4,187.6,    2.31,    1.46,    1.91
Barisal,2017,7,21,28.8,20.4,14.2,2.2,100,92,0,13.4,187.6,    2.24,    1.44,    1.84
Barisal,2017,7,22,27.2,25.2,5,2,96,96,0,13.4,187.6,    2.27,    1.26,    1.84
Barisal,2017,7,23,27.8,25.8,12.8,1.8,96,96,1.2,12.2,226.24,    2.36,    1.23,    1.88
Barisal,2017,7,24,25.6,25,72,2,96,96,0,13.4,187.6,    2.57,    1.40,    1.97
Barisal,2017,7,25,26.4,24,14,2,100,96,0,13.4,187.6,    2.42,    1.42,    1.98
Barisal,2017,7,26,28,24.2,0,3,100,92,0.5,12.9,203.7,    2.37,    1.43,    1.98
Barisal,2017,7,27,31,24.8,7.6,1.6,96,84,4.4,9,329.28,    2.19,    1.30,    1.84
Barisal,2017,7,28,31.2,26,15.12,2.2,96,88,2.5,10.9,268.1,    2.04,    1.46,    1.73
Barisal,2017,7,29,31.6,26.2,0,2,100,84,1.7,11.7,242.34,    1.85,    1.36,    1.57
Barisal,2017,7,30,32,26.6,0,2,96,84,3.6,9.8,303.52,    1.74,    1.14,    1.46
Barisal,2017,7,31,33.2,27,0,4,96,78,9.4,4,490.28,    1.63,    1.17,    1.40
Barisal,2017,8,1,32.4,27.4,7.2,2.2,96,78,6.1,6.7,384.4235938,    1.52,    1.21,    1.35
Barisal,2017,8,2,33.4,27.6,0.6,3.6,96,81,6.3,6.5,391.0145313,    1.62,     .91,    1.28
Barisal,2017,8,3,32.6,26.8,4.6,1.6,96,81,3.7,9.1,305.3323438,    1.74,     .89,    1.34
Barisal,2017,8,4,32.6,26.8,0.8,2.8,96,74,6.3,6.5,391.0145313,    1.75,     .88,    1.33
Barisal,2017,8,5,32.6,27,15.6,3.6,96,77,6.8,6,407.491875,    1.92,     .83,    1.42
Barisal,2017,8,6,31.4,26.4,59.6,3.6,96,96,1.6,11.2,236.1275,    1.97,     .82,    1.51
Barisal,2017,8,7,28.8,24.8,8.4,3.4,96,92,2,10.8,249.309375,    2.09,     .86,    1.62
Barisal,2017,8,8,31.4,24.8,4.2,3.2,96,80,4.2,8.6,321.8096875,    2.16,    1.02,    1.69
Barisal,2017,8,9,33,26.6,0,4,96,81,7.9,4.9,443.7420313,    2.23,    1.06,    1.72
Barisal,2017,8,10,29,27.4,31.2,2.2,96,96,0,12.8,183.4,    2.25,    1.13,    1.75
Barisal,2017,8,13,31,25.6,5.4,2.4,96,84,2.5,10.3,265.7867188,    2.11,    1.10,    1.71
Barisal,2017,8,14,30.8,26,0,2,96,88,0.5,12.3,199.8773438,    2.07,    1.06,    1.69
Barisal,2017,8,15,31.8,26.2,19.4,2.4,96,81,3.4,9.4,295.4459375,    2.02,    1.03,    1.63
Barisal,2017,8,16,28.8,26.2,4.6,2.6,96,96,0.1,12.7,186.6954688,    1.97,    1.05,    1.57
Barisal,2017,8,17,31.4,26,5,4,96,88,5.8,7,374.5371875,    1.84,    1.02,    1.49
Barisal,2017,8,18,31.4,26.4,5.8,2.8,96,80,7,5.8,414.0828125,    2.12,    1.36,    1.78
Barisal,2017,8,19,31.2,26.4,2.6,3.6,96,77,8.6,4.2,466.8103125,    2.26,    1.40,    1.87
Barisal,2017,8,20,32,26.2,0,4,96,77,9.6,3.2,499.765,    2.34,    1.42,    1.91
Barisal,2017,8,21,34.8,27,0.6,3.6,96,68,7.2,5.6,420.67375,    2.37,    1.33,    1.92
Barisal,2017,8,22,35.2,27.2,3.4,2.4,96,88,1.3,11.5,226.2410938,    2.44,    1.30,    1.92
Barisal,2017,8,25,34.2,27,0,3,96,74,8.8,4,473.40125,    2.31,    1.28,    1.92
Barisal,2017,8,26,31.4,27.2,44.4,4.4,96,87,0.4,12.4,196.581875,    2.23,    1.24,    1.85
Barisal,2017,8,27,30.8,25.6,9.4,3.4,96,84,7.2,5.6,420.67375,    2.16,    1.22,    1.82
Barisal,2017,8,28,30.8,25.6,7.6,3.6,96,84,6.6,6.2,400.9009375,    2.19,    1.25,    1.83
Barisal,2017,8,29,31.4,25.8,7.8,2.8,96,96,6.8,6,407.491875,    2.07,    1.21,    1.73
Barisal,2017,8,30,32.8,25.8,4.4,3.4,96,81,6,6.8,381.128125,    1.98,    1.18,    1.66
Barisal,2017,8,31,31.2,26.2,6.2,2.2,96,92,3.2,9.6,288.855,    1.91,    1.16,    1.60
Barisal,2017,9,1,31,25.2,11.4,2.4,96,91,2,10.2,223.9081967,    1.80,    1.12,    1.50
Barisal,2017,9,2,30.8,25,6.4,2.4,96,92,2.1,10.1,226.9736066,    1.83,    1.14,    1.45
Barisal,2017,9,3,32.8,25.4,14.2,3.2,96,84,4.5,7.7,300.5434426,    1.87,    1.18,    1.57
Barisal,2017,9,4,33.2,26,0,2,96,92,1.7,10.5,214.7119672,    1.89,     .91,    1.46
Barisal,2017,9,5,33,26.4,3.4,2.4,96,74,4.7,7.5,306.6742623,    1.92,     .80,    1.41
Barisal,2017,9,6,34,27,0,4,96,71,7.4,4.8,389.4403279,    1.97,     .84,    1.43
Barisal,2017,9,7,34.6,26.6,0,3,96,68,8.8,3.4,432.3560656,    2.00,     .87,    1.44
Barisal,2017,9,8,30.2,27.2,2.6,2.6,96,88,0.3,11.9,171.7962295,    2.04,     .88,    1.47
Barisal,2017,9,9,32,26.6,7.4,3.4,96,84,2.9,9.3,251.4968852,    2.14,     .94,    1.58
Barisal,2017,9,10,31.8,26.8,0,4,96,80,6.9,5.3,374.1132787,    2.18,    1.00,    1.66
Barisal,2017,9,11,31,27,39,2,96,96,2.4,9.8,236.1698361,    2.10,     .94,    1.65
Barisal,2017,9,12,29.4,24,0,2,100,92,0.9,11.3,190.1886885,    1.97,     .89,    1.64
Barisal,2017,9,13,32.4,25,3.8,2.8,96,74,7.4,4.8,389.4403279,    1.81,     .82,    1.53
Barisal,2017,9,14,32.6,25.2,0,2,96,77,8.6,3.6,426.2252459,    1.76,     .80,    1.36
Barisal,2017,9,15,33,26.4,0,3,96,71,6.1,6.1,349.59,    1.62,     .77,    1.22
Barisal,2017,9,16,34.4,27,0,4,92,62,8.4,3.8,420.0944262,    1.56,     .75,    1.19
